itemID	规范主条目itemID	是否重复记录	标题	作者	日期	DOI	现有分类	建议分类	置信度	判定依据	附件数	可用PDF数	摘要摘录
234	234	否	Learning-based endovascular navigation through the use of non-rigid registration for collaborative robotic catheterization	Wenqiang Chi; Jindong Liu; Hedyeh Rafii-Tari; Celia Riga; Colin Bicknell; Guang-Zhong Yang	2018-06	10.1007/s11548-018-1743-5	血管介入 / 智能方法	自主导航、图像引导与技能学习 | 导管屈曲/形态感知	高	非刚性配准与半自主导管导航。	1	1	Endovascular intervention is limited by two-dimensional intraoperative imaging and prolonged procedure times in the presence of complex anatomies. Robotic catheter technology could offer benefits such as reduced radiation exposure to the clinician and improved intravascular navigation. Incorporating three-dimensional preoperative imaging into a semiautonomous robotic catheterization platform has t
236	236	否	Technical and Clinical Progress on Robot-Assisted Endovascular Interventions: A Review	Wenke Duan; Toluwanimi Akinyemi; Wenjing Du; Jun Ma; Xingyu Chen; Fuhao Wang; Olatunji Omisore; Jingjing Luo; Hongbo Wang; Lei Wang	2023-01	10.3390/mi14010197	血管介入 / 综述	综述 | 临床验证、产品与系统实例	高	机器人辅助血管介入技术与临床进展综述。	1	1	Prior methods of patient care have changed in recent years due to the availability of minimally invasive surgical platforms for endovascular intervent...
238	238	否	Haptic Interface With Force and Torque Feedback for Robot-Assisted Endovascular Catheterization	Xianqiang Bao; Shuxiang Guo; Cheng Yang; Lingling Zheng	2024-04	10.1109/TMECH.2023.3290492	血管介入 / 传感方法 | 血管介入 / 小论文真正有用的	近端力与扭矩感知 | 力反馈与安全控制 | 主从人机交互	高	主端力/扭矩/触觉接口及反馈生成。	4	4	Robot-assisted endovascular catheterization is generally performed remotely; interventionists perceive the operation status and control surgical instruments through haptic interfaces. Our main objective is to create a haptic interface that retains interventionists’ prior clinical operating experience, including motion perception, force feedback, torque feedback, tactile sensation, and operating mo
240	240	否	An enhanced dual-finger robotic Hand for Catheter manipulating in vascular intervention: A preliminary study	Gui-Bin Bian; Xiao-Liang Xie; Zhen-Qiu Feng; Zeng-Guang Hou; Peng Wei; Long Cheng; Min Tan	2013-08	10.1109/ICInfA.2013.6720323	血管介入 / 夹持机构	夹持式机构 | 主从人机交互	高	双指仿生手直接夹持并推进导管/导丝。	1	1	Cardiovascular disease is a class of diseases that involve the heart and blood vessels, which is the leading cause of deaths globally. Vascular interventional surgery is an effective treatment. As belongs to minimally invasive surgery (MIS), it is more popular due to the advantages of smaller injury, faster recovery and higher accuracy rate. However, it needs up to 10 years to train a skilled surg
242	163	是	Transferring Virtual Surgical Skills to Reality: AI Agents Mastering Surgical Decision-Making in Vascular Interventional Robotics	Ziyang Mei; Jiayi Wei; Si Pan; Haoyun Wang; Dezhi Wu; Yang Zhao; Gang Liu; Shuxiang Guo	2025-04	10.1109/TMECH.2024.3420954	血管介入 / 智能方法	自主导航、图像引导与技能学习	高	与itemID 163同DOI/题名的重复记录。	1	1	Vascular interventional surgery offers advantages, such as minimal invasiveness, quick recovery, and low side-effects. Performing automatic guidewire navigation on vascular surgical robots can effectively assist doctors in performing surgery. Deep learning and reinforcement learning methods have been widely used for guidewire navigation tasks. However, the challenge remains in making delivery deci
246	246	否	Performance Investigation and Improvement of a Two-DOF Inertial Piezoelectric Robotic Insertion Device for Capillary Micropuncture	Xiang Gao; Jie Deng; Qingbing Chang; Shijing Zhang; Jing Li; Junkao Liu; Yingxiang Liu	2025-06	10.1109/TMECH.2024.3435843	血管介入 / 夹持机构	待核实/跨域方法/网页	低	毛细血管穿刺插入装置，非典型血管介入输送机构，需核实。	1	1	Insertion of capillaries poses a great challenge to biomedical researchers owing to the demanding requirements of multi-DOF, large stroke, high resolution, and adjustable force. In this article, the output performance of a two-DOF inertial piezoelectric robotic insertion device (PRID) was studied and improved, and its application potential in vascular micropuncture was verified. First, configurati
248	248	否	Endovascular intervention robot with multi-manipulators for surgical procedures: Dexterity, adaptability, and practicability	Kundong Wang; Qingsheng Lu; Bin Chen; Yu Shen; Hongbing Li; Manhua Liu; Zhuoyan Xu	2019-04	10.1016/j.rcim.2018.09.004	血管介入 / 夹持机构	夹持式机构 | 夹持换手运动控制 | 主从人机交互	高	四操作者式多操纵器，每个单元含夹持、旋转、推拉。	2	2	In this research, a novel vascular intervention robot with four manipulators that mimic the four hands of a physician and an assistant was designed for peripheral vessels. Each manipulator has three DOFs (degrees of freedom), namely, clamping, rotation, and push–pull of a guide wire and catheters. Manipulation is accomplished by four corresponding joysticks. A distributed control system is used to
251	251	否	Design and Performance Evaluation of a Remote Catheter Navigation System	Yogesh Thakur; Jeffrey S. Bax; David W. Holdsworth; Maria Drangova	2009-07	10.1109/TBME.2009.2017203	血管介入 / 夹持机构	非夹持式连续输送 | 主从人机交互	高	滚轮驱动的远程导管导航系统；非交替夹持机构。	1	1	A novel remote catheter navigation system has been developed to reduce physical stress and irradiation to the interventionalist during fluoroscopic X-ray guided catheter intervention. The unique teleoperated design of this system allows the interventionalist to apply conventional axial and radial motion, as used in current practice, to an input catheter placed in a radiation-safe location to contr
253	253	否	Design and Development of Surgeon Augmented Endovascular Robotic System	Naveen Kumar Sankaran; Pramod Chembrammel; Adnan Siddiqui; Kenneth Snyder; Thenkurussi Kesavadas	2018-11	10.1109/TBME.2018.2800639	血管介入 / 传感方法	近端力与扭矩感知 | 力反馈与安全控制 | 力波动与扰动补偿 | 主从人机交互	高	电机电流估计反作用力、级联控制与安全限幅。	1	1	Objective: Inadequate visual and force feedback while navigating surgical tools elevate the risk of endovascular procedures. It also poses occupational hazard due to repeated exposure to X-rays. A teleoperated robotic system that augments surgeon's actions is a solution. Method: We have designed and developed an endovascular robotic system that augments surgeon's actions using conventional surgica
255	255	否	A novel robotic system for vascular intervention: principles, performances, and applications	Hao Shen; Cheng Wang; Le Xie; Shoujun Zhou; Lixu Gu; Hongzhi Xie	2019-04	10.1007/s11548-018-01906-w	血管介入 / 硕士毕业论文	夹持式机构 | 非夹持式连续输送 | 夹持换手运动控制 | 力反馈与安全控制 | 主从人机交互 | 临床验证、产品与系统实例	高	论文明确讨论progressive夹持、摩擦轮和连续驱动的混合系统，并有在体试验。	1	1	This paper describes the design, principles, performances, and applications of a novel image-guided master–slave robotic system for vascular intervention (VI), including the performance evaluation and in vivo trials.
258	258	否	A robotic system for percutaneous coronary intervention equipped with a steerable catheter and force feedback function	H.-J. Cha; H.-S. Yoon; K. Y. Jung; B.-J. Yi; S. Lee; J. Y. Won	2016-10	10.1109/IROS.2016.7759194	血管介入 / 夹持机构	非夹持式连续输送 | 力反馈与安全控制 | 主从人机交互	高	导管/导丝滚轮或摩擦驱动并提供力反馈；非交替夹持。	1	1	Purpose of this study is to propose a new robotic system equipped with a steerable catheter for percutaneous coronary intervention. Key design issues of the system are less X-ray exposure, easy sterilization, and convenient user interface.
259	259	否	An assembly-type master–slave catheter and guidewire driving system for vascular intervention	Hyo-Jeong Cha; Byung-Ju Yi; Jong Yun Won	2017-01	10.1177/0954411916679328	血管介入 / 夹持机构	非夹持式连续输送 | 主从人机交互	高	原文机构为导管固定于Y形接头、导丝由主动/从动滚轮摩擦输送；不归入交替夹持式机构。	1	1	摘要当前的血管介入在手术过程中不可避免地会暴露大量X光，同时让作者和患者都能看到。本研究旨在提出一种新的导管驱动系统，帮助减少X光暴露和便捷的用户界面。为此，设计并测试了一套装配型4自由度主从系统以验证效率。首先，分析当前的血管介入手术，开发一种新的机器人手术，使我们能够使用市场上商业化的传统血管介入设备，如导管和导丝。连接设备的从属机器人部分部件设计成易于组装并从从机器人主体拆卸以进行消毒。主机器人设计紧凑，用于进行插入和旋转运动，能够在导丝驱动模式与导管驱动模式之间切换，反之亦然。开发出类似人体动脉的幻影，并利用该幻影测试主从机器人系统。导丝尖端根据动脉形状的接触力被测量，并在幻影实验中通过主机器人反射给用户。该系统通过用机器人系统替代人工劳动力，大幅减少辐射暴露，以实现高辐射暴露程序。此外，拟议机器人系统的优点是通过使用现有设备和便捷的人机界面实现低成本。
261	261	否	Advantage of Steerable Catheter and Haptic Feedback for a 5-DOF Vascular Intervention Robot System	Jaehong Woo; Hwa-Seob Song; Hyo-Jeong Cha; Byung-Ju Yi	2019-10	10.3390/app9204305	血管介入 / 夹持机构	非夹持式连续输送 | 近端力与扭矩感知 | 力反馈与安全控制 | 主从人机交互	中	先前5-DOF系统以滚轮/机电驱动为主，FT传感器测近端反作用力。	1	1	Vascular intervention involves inserting a catheter and guidewire into blood vessels to diagnose and treat a disease in an X-ray environment. In this ...
263	263	否	Design and evaluation of a bio-inspired robotic hand for percutaneous coronary intervention	Zhen-Qiu Feng; Gui-Bin Bian; Xiao-Liang Xie; Zeng-Guang Hou; Jian-Long Hao	2015-05	10.1109/ICRA.2015.7139944	血管介入 / 夹持机构	夹持式机构 | 主从人机交互	高	仿生双指手夹持、推进和旋转PCI器械。	1	1	The percutaneous coronary interventions (PCI) require complex operating skills of the interventional devices and make the surgeons being exposed to heavy X-ray radiation. Accurate delivery of the interventional devices and avoiding the radiation are especially important for the surgeons. This paper presents a novel dedicated dual-finger robotic hand (DRH) and a console to assist the surgeons to de
266	266	否	Safety Operation Consciousness Realization of a MR Fluids-Based Novel Haptic Interface for Teleoperated Catheter Minimally Invasive Neurosurgery	Xuanchun Yin; Shuxiang Guo; Nan Xiao; Takashi Tamiya; Hideyuki Hirata; Hidenori Ishihara	2016-04	10.1109/TMECH.2015.2489219	血管介入 / 传感方法	力反馈与安全控制 | 主从人机交互	高	MR流体触觉接口与碰撞辨识安全意识控制。	1	1	In catheter minimally invasive neurosurgery (CMINS), catheter tip collision with the blood vessel detection during the surgery practice is important. Moreover, successful CMINS is dependent on the discrimination of collision by a skilled surgeon in direct operation. However, in the context of teleoperated scenario, the surgeon was physically separated. Therefore, the lack of haptic sensation is a 
268	268	否	A Novel Robot-Assisted Endovascular Catheterization System With Haptic Force Feedback	Shuxiang Guo; Yu Song; Xuanchun Yin; Linshuai Zhang; Takashi Tamiya; Hideyuki Hirata; Hidenori Ishihara	2019-06	10.1109/TRO.2019.2896763	血管介入 / 传感方法	力反馈与安全控制 | 主从人机交互	高	磁流变触觉接口、导管—血管碰撞力反馈。	1	1	The robot-assisted endovascular catheterization system (RAECS) has the potential to address some of the procedural challenges and separate interventionalists from the X-ray radiation during the endovascular surgery. However, the employment of robotic systems is partly changing the natural gestures and behavior of medical professionals. This paper presents a RAECS that augments surgeon's motions us
270	270	否	A force feedback system for endovascular catheterisation	Christopher J. Payne; Hedyeh Rafii-Tari; Guang-Zhong Yang	2012-10	10.1109/IROS.2012.6386149	血管介入 / 传感方法	力反馈与安全控制 | 主从人机交互 | 近端力与扭矩感知	高	血管导管主从力反馈系统与用户实验。	1	1	Robotically assisted catheterisation has attracted significant interest in recent years. However, few designs have made full use of the extensive experience and skills that interventional radiologists have acquired from conventional catheter navigation. Additionally, limited research has been conducted in quantifying the effectiveness of haptic feedback for catheterisation procedures. This paper p
274	274	否	Machine Learning-Based Surgical State Perception and Collaborative Control for a Vascular Interventional Robot	Yonggan Yan; Hongbo Wang; Haoyang Yu; Fuhao Wang; Junyu Fang; Jianye Niu; Shuxiang Guo	2022-04	10.1109/JSEN.2022.3154921	血管介入 / 安全方法	力反馈与安全控制 | 自主导航、图像引导与技能学习 | 主从人机交互	高	手术状态感知与协同控制。	1	1	In robot-assisted vascular interventional surg- ery (VIS), surgeons often need to operate outside the operating room to avoid exposure to X-ray. However, it greatly changes the operating ways of surgeons, which affects judgment and operation safety. In this paper, a novel VIS robot system was developed to predict guidewire insertion states and operate collaboratively. To assist the surgeons in per
285	53	是	Multilevel Operation Strategy of a Vascular Interventional Robot System for Surgical Safety in Teleoperation	Xianqiang Bao; Shuxiang Guo; Yangming Guo; Cheng Yang; Liwei Shi; Youxiang Li; Yuhua Jiang	2022-08	10.1109/TRO.2022.3140887	血管介入 / 夹持机构 | 血管介入 / 安全方法	力反馈与安全控制 | 主从人机交互	高	与itemID 53同DOI/题名的重复记录。	1	1	Remote-controlled vascular interventional robots have great potential for use in minimally invasive vascular surgeries in recent years due to their ability to reduce the occupational risk of surgeons and improve the stability and accuracy of surgical procedures. However, blood vessels will suffer from the damage caused by collision with medical instruments to some extent even though the surgeries 
287	287	否	Design and Evaluation of a Haptic Robot-Assisted Catheter Operating System With Collision Protection Function	Peng Shi; Shuxiang Guo; Linshuai Zhang; Xiaoliang Jin; Hideyuki Hirata; Takashi Tamiya; Masahiko Kawanishi	2021-09	10.1109/JSEN.2021.3095187	血管介入 / 传感方法	力反馈与安全控制 | 近端力与扭矩感知 | 主从人机交互	高	近端力感知、碰撞保护与触觉操作系统。	1	1	In vascular interventional surgery, experienced physicians rely on proximal force sensing to detect the collision and reduce vascular injury caused by surgical tools. However, in robot-assisted tele-interventional surgery (RATIS), providing high-precision force feedback to physician is still a main challenge. In this paper, a haptic robot-assisted catheter operating system with a novel spring-base
289	289	否	Development of an Intuitive Interface With Haptic Enhancement for Robot-Assisted Endovascular Intervention	Wenke Duan; Zihao Li; Olatunji M. Omisore; Wenjing Du; Toluwanimi O. Akinyemi; Xingyu Chen; Xing Gao; Hongbo Wang; Lei Wang	2025-01	10.1109/TOH.2023.3346479	血管介入 / 夹持机构	力反馈与安全控制 | 主从人机交互 | 力波动与扰动补偿	高	磁粉制动器滞回补偿和感知增强安全策略。	1	1	Robot-assisted endovascular intervention has the potential to reduce radiation exposure to surgeons and enhance outcomes of interventions. However, the success and safety of endovascular interventions depend on surgeons’ ability to accurately manipulate endovascular tools such as guidewire and catheter and perceive their safety when cannulating patient's vessels. Currently, the existing interventi
305	305	否	Haptic Feedback and Force-Based Teleoperation in Surgical Robotics	Rajni V. Patel; S. Farokh Atashzar; Mahdi Tavakoli	2022-07	10.1109/JPROC.2022.3180052	血管介入 / 综述	综述 | 主从人机交互 | 力反馈与安全控制	高	手术机器人力反馈与力控制综述。	1	1	This article presents an overview of the current state of research and application of haptic (primarily kinesthetic) feedback and force-based teleoperation in the context of surgical robotics. Telerobotic surgery provides an approach for transferring the sensorimotor skills of a surgeon through a robotic platform to perform surgical intervention inside a patient’s body. Integration of advanced sen
307	307	否	Total Force Analysis and Safety Enhancing for Operating Both Guidewire and Catheter in Endovascular Surgery	Xiaoliang Jin; Shuxiang Guo; Jian Guo; Peng Shi; Takashi Tamiya; Masahiko Kawanishi; Hideyuki Hirata	2021-10	10.1109/JSEN.2021.3107188	血管介入 / 传感方法	近端力与扭矩感知 | 力反馈与安全控制	高	导丝和导管总力分析及安全增强。	1	1	In vascular interventional surgery (VIS), the doctors often need to be exposed to X-ray radiation for a long time, operate surgical instruments (Ex. Guidewires and catheters) to perform the operation, which is difficult to ensure the health of surgeons and the safety of operation. In addition, the force between the blood vessel wall and the surgical instrument is complex and variable, the existenc
311	311	否	Passive haptic interface for robot-assisted endovascular catheterization	Yu Song; Yu Tian; Liutao Li; Qiang Gao; Zhiwei Li	2025-10	10.1007/s11517-025-03374-2	血管介入 / 传感方法	力反馈与安全控制 | 主从人机交互	高	被动磁流变触觉接口及闭环反馈。	1	1	Master–slave vascular interventional surgical robots reduce surgeon’s exposure to radiation during procedures. However, the master–slave structure keeps the surgeon away from the patient, the surgeon loses the sense of haptics while manipulating the robot, and the surgeon’s sense of surgical presence is reduced. To solve this problem, we have developed a master robot with haptic feedback. The surg
316	316	否	Multi-point bending operation force detection method of catheter-based on rotary clamping delivery	Baozhen Ren; Yan Zhao; Jianhua Zhang; Chang Wang; Hui Li; Jianjun Zhang	2025-02	10.1016/j.sna.2024.116128	血管介入 / 夹持机构	夹持式机构 | 近端力与扭矩感知	高	旋转夹持递送和多点弯曲力检测/标定；没有直接证明抑制重夹持力波动，因此不进入降低力波动子类。	1	1	Compared with traditional vascular interventional surgery (VIS), VIS robots have the advantages of no radiation and high precision to complete interventional surgery. However, the accuracy of force detection in robot-assisted interventional surgery affects the safety of surgery. Online access to the operating force is still a significant challenge to improve the safety of VIS robots. Therefore, th
317	317	否	Study on real-time force feedback for a master–slave interventional surgical robotic system	Shuxiang Guo; Yuan Wang; Nan Xiao; Youxiang Li; Yuhua Jiang	2018-04	10.1007/s10544-018-0278-4	血管介入 / 传感方法	近端力与扭矩感知 | 力反馈与安全控制 | 主从人机交互	高	实时闭环主从力反馈系统。	1	1	In robot-assisted catheterization, haptic feedback is important, but is currently lacking. In addition, conventional interventional surgical robotic systems typically employ a master–slave architecture with an open-loop force feedback, which results in inaccurate control. We develop herein a novel real-time master–slave (RTMS) interventional surgical robotic system with a closed-loop force feedbac
319	319	否	Compensatory force measurement and multimodal force feedback for remote-controlled vascular interventional robot	Xianqiang Bao; Shuxiang Guo; Nan Xiao; Youxiang Li; Liwei Shi	2018-08	10.1007/s10544-018-0318-0	血管介入 / 传感方法	夹持式机构 | 降低力波动 | 近端力与扭矩感知 | 力波动与扰动补偿 | 力反馈与安全控制	高	静态/动态摩擦、滑台和花键传力误差补偿后恢复近端力。	1	1	Minimally invasive vascular interventional surgery is widely used and remote-controlled vascular interventional surgery robots (RVIRs) are being developed to reduce the occupational risk of the intervening physician in minimally invasive vascular interventional surgeries. Skilled surgeon performs surgeries mainly depending on the detection of collisions. Inaccurate force feedback will be difficult
326	326	否	Remote vascular interventional surgery robotics: a literature review	Yang Zhao; Ziyang Mei; Xiaoxiao Luo; Jingsong Mao; Qingliang Zhao; Gang Liu; Dezhi Wu	2022-04	10.21037/qims-21-792	血管介入 / 综述	综述	高	远程血管介入机器人文献综述。	1	1	Vascular interventional doctors are exposed to radiation hazards during surgery and endure high work intensity. Remote vascular interventional surgery robotics is a hot research field, in which researchers aim to not only protect the health of interventional doctors, but to also improve surgical accuracy and efficiency. However, the current vascular interventional robots have numerous shortcomings
396	396	否	A Master-Follower Teleoperation System for Robotic Catheterization: Design, Characterization, and Tracking Control	Ali A. Nazari; Jeremy Catania; Soroush Sadeghian; Amir Jalali; Houman Masnavi; Farrokh Janabi-Sharifi; Kourosh Zareinia	2025-02	10.48550/arXiv.2407.13162	血管介入 / 夹持往复 | 血管介入 / 夹持机构	夹持式机构 | 夹持换手运动控制 | 导管屈曲/形态感知 | 主从人机交互	高	grip–insert–release机构，明确用于防止导管屈曲和扭转。	2	2	Minimally invasive robotic surgery has gained significant attention over the past two decades. Telerobotic systems, combined with robot-mediated minimally invasive techniques, have enabled surgeons and clinicians to mitigate radiation exposure for medical staff and extend medical services to remote and hard-to-reach areas. To enhance these services, teleoperated robotic surgery systems incorporati
403	403	否	Novel Endovascular Interventional Surgical Robotic System Based on Biomimetic Manipulation	Chao Song; Shibo Xia; Hao Zhang; Lei Zhang; Xiaoye Li; Kundong Wang; Qingsheng Lu	2022-09	10.3390/mi13101587	血管介入 / 夹持往复 | 血管介入 / 夹持机构	夹持式机构 | 夹持换手运动控制 | 力反馈与安全控制 | 主从人机交互	高	仿生抓取过程与V形中继夹爪，连续旋转和阻力反馈。	2	1	Endovascular therapy has emerged as a crucial therapeutic method for treating vascular diseases. Endovascular surgical robots have been used to enhance endovascular therapy. However, to date, there are no universal endovascular surgical robots that support molds of different types of devices for treating vascular diseases. We developed a novel endovascular surgical robotic system that can independ
408	408	否	Robotic endovascular surgery: current and future practice	Lucinda Cruddas; Guy Martin; Celia Riga	2021-12	10.1053/j.semvascsurg.2021.10.002	血管介入 / 综述	综述 | 临床验证、产品与系统实例	高	机器人血管外科现状与未来综述。	1	1	Minimally invasive techniques have been at the forefront of surgical progress, and the evolution of endovascular robotic technologies has seen a paradigm shift in the focus of future innovation. Endovascular robotic technology may help overcome many of the challenges associated with traditional endovascular techniques by enabling greater control, stability, and precision of target navigation and t
410	410	否	Sensorless Transparency Optimized Haptic Teleoperation on the da Vinci Research Kit	Nural Yilmaz; Brendan Burkhart; Anton Deguet; Peter Kazanzides; Ugur Tumerdem	2024-02	10.1109/LRA.2023.3335779	血管介入 / 传感方法	力波动与扰动补偿 | 力反馈与安全控制 | 主从人机交互	中	无传感器透明度、扰动观测器及力估计；非血管专用参考。	3	3	The da Vinci surgical robot introduced remote control of instruments, providing surgeons with increased dexterity and precision. A major drawback, however, is the loss of sense of touch due to a lack of kinesthetic coupling between the surgical field and the surgeon. This paper presents a framework for sensorless transparency optimized four channel teleoperation. It is sensorless because forces ar
414	414	否	Physics-Informed LSTM for Shape and Contact Force Prediction of a Flexible Surgical Robot*	Feng Ju; Chen Wang; Yingying Wang; Yuxing Wang; Liping Ding	2025-10	10.1109/IROS60139.2025.11245832	血管介入 / 传感方法	近端力与扭矩感知 | 导管屈曲/形态感知 | 力波动与扰动补偿	中	物理信息LSTM预测柔性手术机器人形态/接触力；跨域参考。	1	1	Real-time morphological perception and precise end force feedback prediction of surgical robots constitute critical technical elements for ensuring safety and efficacy in complex interventional procedures such as Endoscopic Retrograde Cholangiopancreatography (ERCP). In this paper, we design a miniature flexible surgical robot (FSR) with a nested spring structure and proposed a physics-informed de
