itemID	zoteroKey	itemType	title	authors	date	DOI	collections	attachment_count	attachment_available_count	attachment_paths
1597	GYPD7NQY	journalArticle	A Reciprocating Delivery Device-Based Endovascular Intervention Robot With Multimanipulators Collaboration	Sheng Cao; Shuxiang Guo; Jian Guo; Jian Wang; Yongxin Zhang; Yongwei Zhang; Pengfei Yang; Jianmin Liu	2024	10.1109/TIM.2023.3342853	血管介入 / 夹持往复	1	1	C:\Users\Sui\Zotero\storage\9KFLG8GT\Cao 等 - 2024 - A Reciprocating Delivery Device-Based Endovascular Intervention Robot With Multimanipulators Collabo.pdf [可用]
1599	82CCN6JR	webpage	IEEE Xplore Full-Text PDF:				血管介入 / 夹持往复	1	1	C:\Users\Sui\Zotero\storage\VKYL9MMW\stamp.html [可用]
1602	2EBMMFGM	journalArticle	Grasping Force Control of Robotic Gripper With High Stiffness	Wenyu Zuo; Gangbing Song; Zheng Chen	2022-04	10.1109/TMECH.2021.3081377	血管介入 / 夹持往复	1	1	C:\Users\Sui\Zotero\storage\YULD32JV\Zuo 等 - 2022 - Grasping Force Control of Robotic Gripper With High Stiffness.pdf [可用]
1604	SH2DRPMI	journalArticle	Error compensation in force sensing resistors	Elkin I. Gutiérrez Velásquez; Víctor Gómez; Leonel Paredes-Madrid; Henry A. Colorado	2019-11	10.1016/j.sbsr.2019.100300	血管介入 / 夹持往复	1	1	C:\Users\Sui\Zotero\storage\VLPH66J4\Velásquez 等 - 2019 - Error compensation in force sensing resistors.pdf [可用]
1613	NQ2K4N98	preprint	A Compact Top-Loading Robot for Endovascular Interventions: Design, Control and Evaluation	Jonas Fischer; Lennart Karstensen; Franziska Mathis-Ullrich	2026-07	10.48550/arXiv.2607.11779	血管介入 / 夹持往复	1	1	C:\Users\Sui\Zotero\storage\FMAMNTCR\Fischer 等 - 2026 - A Compact Top-Loading Robot for Endovascular Interventions Design, Control and Evaluation.pdf [可用]
1614	8ZQV7KES	journalArticle	A Master‐Follower Teleoperation System for Robotic Catheterisation: Design, Characterisation and Tracking Control	Ali A. Nazari; Jeremy Catania; Soroush Sadeghian; Amir Jalali; Houman Masnavi; Farrokh Janabi‐Sharifi; Kourosh Zareinia	2025-06	10.1002/rcs.70073	血管介入 / 夹持往复	1	1	C:\Users\Sui\Zotero\storage\J86LYRJC\Nazari 等 - 2025 - A Master‐Follower Teleoperation System for Robotic Catheterisation Design, Characterisation and Tra.pdf [可用]
1615	8W9FZSDM	journalArticle	Force Control With a Novel Robotic Catheterization System Based on Braided Sleeve Grippers	Omar Al-Ahmad; Mouloud Ourak; Johan Vlekken; Emmanuel Vander Poorten	2023-08	10.1109/TMRB.2023.3291026	血管介入 / 夹持往复	1	1	C:\Users\Sui\Zotero\storage\S9TV2X55\Al-Ahmad 等 - 2023 - Force Control With a Novel Robotic Catheterization System Based on Braided Sleeve Grippers.pdf [可用]
1616	84K4FGY8	journalArticle	A Novel Vascular Intervention Surgical Robot Based on Force Feedback and Flexible Clamping	Haoyang Yu; Hongbo Wang; Jingyuan Chang; Jianye Niu; Fuhao Wang; Yonggan Yan; Hesuo Tian; Junyu Fang; Haixia Lu	2021-01	10.3390/app11020611	血管介入 / 夹持往复	1	1	C:\Users\Sui\Zotero\storage\HM55E3YP\Yu 等 - 2021 - A Novel Vascular Intervention Surgical Robot Based on Force Feedback and Flexible Clamping.pdf [可用]
1618	KWSRYMNM	preprint	Cable Manipulation with a Tactile-Reactive Gripper	Yu She; Shaoxiong Wang; Siyuan Dong; Neha Sunil; Alberto Rodriguez; Edward Adelson	2020-06	10.48550/arXiv.1910.02860	血管介入 / 夹持往复	1	1	C:\Users\Sui\Zotero\storage\VFHWP77S\She 等 - 2020 - Cable Manipulation with a Tactile-Reactive Gripper.pdf [可用]
1620	TYRRYUFG	journalArticle	Smoothly Connected Preemptive Impact Reduction and Contact Impedance Control	Hikaru Arita; Hayato Nakamura; Takuto Fujiki; Kenji Tahara	2023-10	10.1109/TRO.2023.3286045	血管介入 / 夹持往复	1	1	C:\Users\Sui\Zotero\storage\B54UCPTX\Arita 等 - 2023 - Smoothly Connected Preemptive Impact Reduction and Contact Impedance Control.pdf [可用]
1622	QDA9UG7C	preprint	Bio-Inspired Grasping Controller for Sensorized 2-DoF Grippers	Luca Lach; Séverin Lemaignan; Francesco Ferro; Helge Ritter; Robert Haschke	2023-11	10.48550/arXiv.2311.07257	血管介入 / 夹持往复	1	1	C:\Users\Sui\Zotero\storage\8SNBK2XY\Lach 等 - 2023 - Bio-Inspired Grasping Controller for Sensorized 2-DoF Grippers.pdf [可用]
1623	ESZHXGEC	preprint	Automated Continuous Force-Torque Sensor Bias Estimation	Philippe Nadeau; Miguel Rogel Garcia; Emmett Wise; Jonathan Kelly	2024-03	10.48550/arXiv.2403.01068	血管介入 / 夹持往复	1	1	C:\Users\Sui\Zotero\storage\FFT6QN8S\Nadeau 等 - 2024 - Automated Continuous Force-Torque Sensor Bias Estimation.pdf [可用]
1634	GCD9SJTJ	journalArticle	A novel remote-controlled robotic system for cerebrovascular intervention	Hao Shen; Cheng Wang; Le Xie; Shoujun Zhou; Lixu Gu; Hongzhi Xie	2018	10.1002/rcs.1943	血管介入 / 夹持机构	2	2	C:\Users\Sui\Zotero\storage\2FH5566D\Shen 等 - 2018 - A novel remote-controlled robotic system for cerebrovascular intervention.pdf [可用] | C:\Users\Sui\Zotero\storage\7B5SNVIN\rcs.html [可用]
1640	8HIB4FWT	journalArticle	A linear stepping endovascular intervention robot with variable stiffness and force sensing	Chengbin He; Shuxin Wang; Siyang Zuo	2018-05	10.1007/s11548-018-1722-x	血管介入 / 夹持往复	1	1	C:\Users\Sui\Zotero\storage\A47WBNUF\He 等 - 2018 - A linear stepping endovascular intervention robot with variable stiffness and force sensing.pdf [可用]
1642	QFTBT5VL	journalArticle	A novel robotic system for vascular intervention: principles, performances, and applications	Hao Shen; Cheng Wang; Le Xie; Shoujun Zhou; Lixu Gu; Hongzhi Xie	2019-04	10.1007/s11548-018-01906-w	血管介入 / 夹持往复	1	1	C:\Users\Sui\Zotero\storage\2M6DQI9N\Shen 等 - 2019 - A novel robotic system for vascular intervention principles, performances, and applications.pdf [可用]
1644	N8IV49DV	conferencePaper	Adaptive Clamping Mechanism-based a Novel Slave Manipulator for Endovascular Catheterization	Linshuai Zhang; Shuxiang Guo; Huadong Yu; Yu Song; Dapeng Song	2018-08	10.1109/ICMA.2018.8484656	血管介入 / 夹持往复	1	1	C:\Users\Sui\Zotero\storage\J2TXCLCM\Zhang 等 - 2018 - Adaptive Clamping Mechanism-based a Novel Slave Manipulator for Endovascular Catheterization.pdf [可用]
1646	GULTKTI6	conferencePaper	An enhanced dual-finger robotic Hand for Catheter manipulating in vascular intervention: A preliminary study	Gui-Bin Bian; Xiao-Liang Xie; Zhen-Qiu Feng; Zeng-Guang Hou; Peng Wei; Long Cheng; Min Tan	2013-08	10.1109/ICInfA.2013.6720323	血管介入 / 夹持往复	1	1	C:\Users\Sui\Zotero\storage\SEJ2JHB4\Bian 等 - 2013 - An enhanced dual-finger robotic Hand for Catheter manipulating in vascular intervention A prelimina.pdf [可用]
1648	DVS959TD	journalArticle	An assembly-type master–slave catheter and guidewire driving system for vascular intervention	Hyo-Jeong Cha; Byung-Ju Yi; Jong Yun Won	2017-01	10.1177/0954411916679328	血管介入 / 夹持往复	1	1	C:\Users\Sui\Zotero\storage\6P3G5QN9\Cha 等 - 2017 - An assembly-type master–slave catheter and guidewire driving system for vascular intervention.pdf [可用]
1650	5WQ8X2UX	conferencePaper	Design and Evaluation of a Novel Slave Manipulator for the Vascular Interventional Robotic System	Jian Guo; Cheng Meng; Shuxiang Guo; Qiang Fu; Qi Zhan; Lei Qi	2019-08	10.1109/ICMA.2019.8816572	血管介入 / 夹持往复	1	1	C:\Users\Sui\Zotero\storage\D5A3LW93\Guo 等 - 2019 - Design and Evaluation of a Novel Slave Manipulator for the Vascular Interventional Robotic System.pdf [可用]
1652	7WRSXQR6	journalArticle	Research on a Novel Vascular Interventional Surgery Robot and Control Method Based on Precise Delivery	Hongbo Wang; Jingyuan Chang; Haoyang Yu; Haiyang Liu; Chao Hou; Haixia Lu	2021	10.1109/ACCESS.2021.3057425	血管介入 / 夹持往复	1	1	C:\Users\Sui\Zotero\storage\IBNXB8TK\Wang 等 - 2021 - Research on a Novel Vascular Interventional Surgery Robot and Control Method Based on Precise Delive.pdf [可用]
1654	HWT7HDQG	conferencePaper	Design of a Vascular Interventional Surgery Platform Based on Clamping-Side Guidewire Force Feedback	Haoyu Xie; Chong Yang; Shuxiang Guo; Weihao Wu; Sheng Cao; Chunying Li	2025-08	10.1109/ICMA65362.2025.11120541	血管介入 / 夹持往复	1	1	C:\Users\Sui\Zotero\storage\K7BNJRZT\Xie 等 - 2025 - Design of a Vascular Interventional Surgery Platform Based on Clamping-Side Guidewire Force Feedback.pdf [可用]
1655	WNTSCFFC	journalArticle	A High-Precision Positioning and Force Sensing Robotic System for Multi-Instrument Manipulation During Robot-Assisted Endovascular Intervention	Wenke Duan; Wenjing Du; Zihao Li; Toluwanimi Oluwadra Akinyemi; Olatunji Mumini Omisore; Qiqi Pan; Xingyu Chen; Hongbo Wang; Lei Wang	2026	10.1109/TIM.2026.3679188	血管介入 / 夹持往复	1	1	C:\Users\Sui\Zotero\storage\EIIRDAN5\Duan 等 - 2026 - A High-Precision Positioning and Force Sensing Robotic System for Multi-Instrument Manipulation Duri.pdf [可用]
1656	LH69NKWW	journalArticle	A Novel Robot-Assisted Endovascular Catheterization System With Haptic Force Feedback	Shuxiang Guo; Yu Song; Xuanchun Yin; Linshuai Zhang; Takashi Tamiya; Hideyuki Hirata; Hidenori Ishihara	2019-06	10.1109/TRO.2019.2896763	血管介入 / 夹持往复	1	1	C:\Users\Sui\Zotero\storage\Z53FRRIU\Guo 等 - 2019 - A Novel Robot-Assisted Endovascular Catheterization System With Haptic Force Feedback.pdf [可用]
1660	JLJYFV85	journalArticle	Mechanism design and force sensing of a novel cardiovascular interventional surgery robot	Shuang Wang; Zheng Liu; Xiongpeng Shu; Le Xie	2022	10.1002/rcs.2406	血管介入 / 夹持往复	1	1	C:\Users\Sui\Zotero\storage\LRZ4Z552\Wang 等 - 2022 - Mechanism design and force sensing of a novel cardiovascular interventional surgery robot.pdf [可用]
1662	P8LNY5NX	journalArticle	Operating force information on-line acquisition of a novel slave manipulator for vascular interventional surgery	Yan Zhao; Shuxiang Guo; Nan Xiao; Yuxin Wang; Youxiang Li; Yuhua Jiang	2018-04	10.1007/s10544-018-0275-7	血管介入 / 夹持往复	1	1	C:\Users\Sui\Zotero\storage\3HK727ET\Zhao 等 - 2018 - Operating force information on-line acquisition of a novel slave manipulator for vascular interventi.pdf [可用]
